consumer_id,name,date_of_complaint,region,complaint,Department
6245,Sarah Harris,2024-05-16,Barneston,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2320,Patrick Thomas,2024-05-02,Marksville,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2038,Joy Bell,2024-07-22,West Robert,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
5455,Jay Gonzalez,2024-08-10,Rebeccaside,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
1285,Michael Johnson,2024-05-16,Bradview,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
4043,Chris Rivera,2024-10-09,Harmonland,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2912,Kyle Wilson,2024-09-01,Jayville,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
5923,Jason Wong,2024-03-12,North Danieltown,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
4364,Andrew Mills Jr.,2024-05-04,Lake Brenda,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
9794,Barry Huerta,2024-02-26,North Sherryfort,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
4204,Angela Mayo,2024-09-17,South Christopher,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
9972,Frank Rush,2024-09-12,Katherineshire,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
7776,Angelica Mcneil,2024-01-20,Yvonnestad,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
5975,James Romero,2023-12-17,Ericachester,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
9389,Kristina Dennis,2024-02-23,Port Ryanmouth,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2126,Edward Chapman,2024-02-24,Alejandroport,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
5793,Emily Freeman,2024-01-18,Jamesmouth,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
4331,Maria Johnson,2024-06-09,Stephanieton,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
7008,Brenda Smith,2023-12-05,Heatherburgh,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2972,Desiree Baker,2024-10-06,Gregoryville,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
7773,Tammy Rodriguez,2024-04-08,Foxside,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
1849,Michael Lopez,2023-12-21,Sherryview,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
8785,Brian Garcia,2024-10-15,Lake Maryfurt,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
9874,Ethan Graham,2024-01-13,West Robert,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
6300,Kristine Kim,2024-05-23,Gibsontown,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
8131,Danny Miranda,2024-06-08,Lake Craigport,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
1092,Keith Cardenas,2024-07-23,Christophertown,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
4769,Carla Cruz,2024-07-28,West Lydiamouth,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
7932,David Edwards,2024-06-02,New Jessica,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2699,Tiffany Powell,2024-02-05,Keithborough,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2529,Jerome Norton,2024-10-20,Maciasview,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
9892,Eric White,2024-04-11,Port Jessica,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
9379,Matthew Price,2024-07-06,Lake Jennifermouth,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
3480,Susan Brown,2023-12-24,New Cristina,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
9116,Ashley Ramirez,2024-06-02,East Mariamouth,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2780,Rachel Mccarty,2023-12-08,Shortton,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2267,Edward Neal,2024-04-30,Deleonbury,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
4553,Darrell Novak,2024-04-20,Bushmouth,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
4292,Tony Clark,2024-01-05,New Sharon,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
3793,Theresa Hill,2024-11-19,East Daniellefurt,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
8457,Gina Calderon,2024-07-03,Lake Miguel,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
8873,Donna Maxwell,2024-01-25,Jonesfurt,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
7666,Laurie Montgomery,2023-12-07,East Johnside,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
8008,Jeremiah Jones,2024-03-11,Port Vanessaport,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2108,Javier Campbell,2024-10-08,East Colleenchester,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2542,Ryan Reed,2024-05-11,Lake Bradley,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
4028,Lauren Grant,2024-01-08,New Jesusfurt,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
8273,Kevin Fitzgerald,2024-06-29,Kingport,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
3729,Angela Powers,2024-04-13,Tammymouth,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
7610,Brittany Perez,2024-01-03,South Alex,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
1031,Christopher Dougherty,2024-10-09,Lake Brianland,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
6843,Lisa Sloan,2024-04-08,Cindyview,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
4897,Bruce Johnson,2024-03-21,Victoriaburgh,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
5554,Susan Powers,2023-12-19,Port Samantha,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
7635,Christopher Cooper,2024-05-16,East Jacobside,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
2759,David Ramos,2024-04-13,Thorntonside,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
1972,Lori Valdez,2024-03-03,West Olivia,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
5424,Amanda Ruiz,2024-04-03,New Jessicaside,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
9010,Angela Castillo,2024-05-12,Brittanybury,"My food arrived cold, and I want a refund for the delivery charge.",Billing & Payment
