consumer_id,name,date_of_complaint,region,complaint,Department
1064,Amy Berry,2024-06-19,Reedmouth,"The delivery time was not met, and I am unhappy with the service.",Customer Support
5998,Samantha Rodriguez,2024-01-22,Lake James,"The delivery time was not met, and I am unhappy with the service.",Customer Support
6687,Molly Miller,2024-11-14,New Lindsey,"The delivery time was not met, and I am unhappy with the service.",Customer Support
9175,Wendy Harris,2024-06-12,Lambfurt,"The delivery time was not met, and I am unhappy with the service.",Customer Support
7533,Brittany Lane,2024-10-17,Lake Holly,"The delivery time was not met, and I am unhappy with the service.",Customer Support
1452,Todd Wolfe,2024-10-08,West Michelle,"The delivery time was not met, and I am unhappy with the service.",Customer Support
2017,Justin Lopez,2024-10-17,Port Jeffreymouth,"The delivery time was not met, and I am unhappy with the service.",Customer Support
9855,Dylan Farrell,2024-05-25,South Stephenmouth,"The delivery time was not met, and I am unhappy with the service.",Customer Support
2891,Morgan Gilbert,2024-03-20,South Jameshaven,"The delivery time was not met, and I am unhappy with the service.",Customer Support
1772,Sarah Waters,2024-06-23,Heatherside,"The delivery time was not met, and I am unhappy with the service.",Customer Support
5277,Lisa Williams,2024-07-29,Lake Michael,"The delivery time was not met, and I am unhappy with the service.",Customer Support
8862,Andrew Rivas,2024-07-16,Robertberg,"The delivery time was not met, and I am unhappy with the service.",Customer Support
6061,Luis Galvan,2024-09-07,Knappside,"The delivery time was not met, and I am unhappy with the service.",Customer Support
1029,Ryan Murphy,2024-01-26,Port Cynthia,"The delivery time was not met, and I am unhappy with the service.",Customer Support
5484,Mary Davis,2024-08-12,Crosschester,"The delivery time was not met, and I am unhappy with the service.",Customer Support
1347,Philip Cruz,2023-11-26,Heatherland,"The delivery time was not met, and I am unhappy with the service.",Customer Support
1815,Christian Hayes,2024-04-15,Port Jessicaside,"The delivery time was not met, and I am unhappy with the service.",Customer Support
1928,Tiffany Greer,2024-07-20,Danielfort,"The delivery time was not met, and I am unhappy with the service.",Customer Support
7643,Erika Wade,2024-02-16,Port Johnfort,"The delivery time was not met, and I am unhappy with the service.",Customer Support
6756,Andrew Duran,2024-09-20,Sandrashire,"The delivery time was not met, and I am unhappy with the service.",Customer Support
4441,Jessica Alexander,2024-10-08,Port Luis,"The delivery time was not met, and I am unhappy with the service.",Customer Support
3818,Daniel Douglas,2024-06-08,Kimberlyton,"The delivery time was not met, and I am unhappy with the service.",Customer Support
4290,John Hampton,2024-10-25,Johnsonside,"The delivery time was not met, and I am unhappy with the service.",Customer Support
6204,Matthew Small,2024-02-12,Lake Lisaview,"The delivery time was not met, and I am unhappy with the service.",Customer Support
8360,Paul Atkins,2024-06-29,Patriciaside,"The delivery time was not met, and I am unhappy with the service.",Customer Support
8176,Charles Scott,2024-06-20,New Davidland,"The delivery time was not met, and I am unhappy with the service.",Customer Support
5611,Janet Barnes,2024-10-29,West Michael,"The delivery time was not met, and I am unhappy with the service.",Customer Support
7405,Lisa Ward,2024-01-21,Simmonsshire,"The delivery time was not met, and I am unhappy with the service.",Customer Support
1222,Christopher Tate,2024-02-10,Jamesburgh,"The delivery time was not met, and I am unhappy with the service.",Customer Support
9917,Phillip Mcbride,2023-12-06,South Kyleville,"The delivery time was not met, and I am unhappy with the service.",Customer Support
2884,Tina Williams,2024-05-13,Smithville,"The delivery time was not met, and I am unhappy with the service.",Customer Support
9804,Jeremy Martinez,2024-03-04,Barryton,"The delivery time was not met, and I am unhappy with the service.",Customer Support
5376,Joseph Warner,2024-11-02,West Jamesland,"The delivery time was not met, and I am unhappy with the service.",Customer Support
5044,Joseph Cochran,2024-06-15,North Anthonyberg,"The delivery time was not met, and I am unhappy with the service.",Customer Support
6239,James Mack,2024-10-27,Myersport,"The delivery time was not met, and I am unhappy with the service.",Customer Support
2721,Paul Nguyen,2024-07-15,Harringtonborough,"The delivery time was not met, and I am unhappy with the service.",Customer Support
2702,Carla Dougherty,2023-12-17,South Maryside,"The delivery time was not met, and I am unhappy with the service.",Customer Support
1645,Noah Lawson,2024-04-06,West Deborah,"The delivery time was not met, and I am unhappy with the service.",Customer Support
4537,Philip Patterson,2024-05-16,North Dominiquehaven,"The delivery time was not met, and I am unhappy with the service.",Customer Support
5022,Emma Robertson,2024-05-21,Lake Bonnieville,"The delivery time was not met, and I am unhappy with the service.",Customer Support
7210,Mike Everett,2024-09-14,New Edward,"The delivery time was not met, and I am unhappy with the service.",Customer Support
7559,Maureen Hawkins,2024-04-08,Scottside,"The delivery time was not met, and I am unhappy with the service.",Customer Support
7009,Mikayla Cabrera,2024-08-14,Carrollberg,"The delivery time was not met, and I am unhappy with the service.",Customer Support
2477,John Hampton,2024-03-26,Laurenfort,"The delivery time was not met, and I am unhappy with the service.",Customer Support
4187,Carol Jones,2024-06-04,Robinmouth,"The delivery time was not met, and I am unhappy with the service.",Customer Support
3506,Karen Adams,2024-09-19,Lake Diamondport,"The delivery time was not met, and I am unhappy with the service.",Customer Support
2231,Tonya Garcia,2024-11-04,Michaelville,"The delivery time was not met, and I am unhappy with the service.",Customer Support
3601,Mary Evans,2024-11-17,West Jenniferview,"The delivery time was not met, and I am unhappy with the service.",Customer Support
4295,Stephanie Ferguson,2024-07-17,South Michaelport,"The delivery time was not met, and I am unhappy with the service.",Customer Support
8278,Jordan Lopez,2024-11-16,Hayesberg,"The delivery time was not met, and I am unhappy with the service.",Customer Support
7041,Andrew Vaughn,2024-05-15,North Stacyshire,"The delivery time was not met, and I am unhappy with the service.",Customer Support
8317,Patricia Estrada,2023-12-20,Turnertown,"The delivery time was not met, and I am unhappy with the service.",Customer Support
1629,Daniel Black,2024-11-09,Westmouth,"The delivery time was not met, and I am unhappy with the service.",Customer Support
