consumer_id,name,date_of_complaint,region,complaint,Department
2877,Brandy Jones,2024-11-07,North Marissa,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
6190,Jennifer Jenkins,2024-09-05,Lake Deborahview,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
2378,Travis Nash,2024-06-26,Changhaven,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
3482,Carla Black,2024-05-29,Lake Christine,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
8497,Craig Gallagher,2024-01-26,Jeffreyborough,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
8081,Robert Brown,2024-02-01,New Matthew,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
7043,Timothy Hancock,2024-07-02,Jennifermouth,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
2000,James Estrada,2024-10-07,North Tristan,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
1741,Scott Gonzalez,2024-01-09,Cathyberg,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
3387,Tracy Ramirez,2024-06-26,Justinview,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
1618,Sabrina Andersen,2024-11-11,Lewisport,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
8988,Colin Johnson,2024-05-08,Christopherfort,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
9585,Joy Crawford,2024-01-12,New Ashleybury,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
6156,Mrs. Jasmin Sanchez,2024-02-03,Margaretshire,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
5503,Carrie Wagner,2024-03-24,New Veronicafort,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
8318,Abigail Brady,2024-02-29,Kimchester,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
4256,Jennifer Abbott,2024-11-01,New Michellefurt,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
9082,Maria Evans,2024-07-23,Victoriaburgh,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
4111,Angela Hansen MD,2024-09-06,Port Matthew,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
7569,Scott Cunningham,2024-05-18,Jonesside,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
5735,Brian Riddle,2024-03-26,Evansport,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
9567,Nicole Webb,2024-06-23,Lake Krista,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
2214,Christina Rogers,2024-09-29,East Nathanberg,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
9724,Lisa Robinson DDS,2024-05-11,Hernandezmouth,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
9413,Karen Garza,2024-05-27,East Brenda,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
8927,Timothy Fox,2024-01-19,North Mark,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
8433,John Preston,2024-06-25,North Susanside,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
3918,John Hammond,2023-12-17,Andrewborough,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
6543,Isabella Hopkins,2024-11-20,Alvarezchester,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
6883,Mark Davenport,2024-11-12,Staceyfurt,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
8453,Amanda Taylor,2023-12-07,Donnatown,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
1299,Joy Miller,2024-06-08,East Jamesmouth,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
5512,Dr. Michelle Pearson,2024-01-02,Lake Chadland,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
9434,Erin Williams,2024-10-21,Kyliechester,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
4734,Dr. Rodney Brown V,2023-12-22,Fosterchester,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
8852,Kyle Young,2024-01-02,Billmouth,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
2486,Jessica Wilson,2024-11-16,West Katherinehaven,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
1248,Brittany Thomas,2024-06-14,Kleintown,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
9513,Tara Wagner,2024-07-05,Lake Catherine,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
5886,Kevin Cobb,2024-03-25,Jamestown,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
1570,Rodney Brown,2024-03-23,East Ashleyview,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
1799,Karen Hale,2024-02-14,Port Amy,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
2591,Russell Nichols,2024-02-24,South Tinabury,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
2567,Jenna Daniels,2024-01-03,Christopherland,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
6957,Kimberly Cabrera,2024-08-01,West Paulview,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
8775,Angela Young,2024-09-16,West Jenny,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
7409,Julie White,2023-12-27,Faulknerland,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
7838,Edward Powell,2023-12-26,Owensville,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
6592,Daniel Atkins,2024-11-06,South Nicholas,"There was an error in my transaction, and I am requesting a correction.",Technical Issues
